Algorithm,1,2,3,4,5,6,7,8,9,10,AVG.,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"150,25","150,25","150,25","150,25","150,60","150,100",,,,,,,
,3781.671668,3781.671668,3801.773543,4021.581911,3649.28705,2982.038503,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"150,25","150,25","150,25","150,25","170,25","180,25",,,,,,,
,3627.210464,3862.214429,3494.240525,3930.705271,4058.137483,3693.636637,,,,,,,
